Unnamed: 0,name,extinction_reasons,location,population_trend,state,scientific_name,description,habitat,extinction_reasons_duplicate,english_name,class,family,order,population,amount_remain,extinction_reasons_additional,status_id,tinh_trang,dinh_nghia,full
0,Vẹt Tai Vàng,"Mất môi trường sống, săn bắt","Dãy Andes, Colombia và Ecuador",Increasing,VU,Ognorhynchus icterotis,"Vẹt lớn, màu xanh lá với vệt vàng quanh tai, sống thành bầy.","Rừng mây, rừng núi cao","Mất môi trường sống, săn bắt",Yellow-eared Parrot,Chim,Psittacidae,Psittaciformes,Increasing,"1,000","Mất môi trường sống, săn bắt",VU,Sắp nguy cấp,Có nguy cơ cao bị tuyệt chủng trong tự nhiên,vulnerable
1,Dơi quạ Livingstone,"Mất môi trường sống, săn bắt",Comoros,Decreasing,CR,Pteropus livingstonii,"Dơi lớn, màu đen, sải cánh rộng, ăn hoa quả.",Rừng mưa nhiệt đới,"Mất môi trường sống, săn bắt",Livingstone's Flying Fox,Thú,Pteropodidae,Chiroptera,Decreasing,"1,300","Mất môi trường sống, săn bắt",CR,Cực kỳ nguy cấp,Được đánh giá là đang ở mức độ nguy cấp nhất có nguy cơ tuyệt chủng,critically endangered
2,Cua nước ngọt Potamonautes,"Mất môi trường sống, ô nhiễm",Đông Phi,Unknown,EN,Potamonautes lividus,"Cua nước ngọt nhỏ, màu xanh lam nhạt, sống trong các vùng nước sạch.","Suối, sông, hồ nước ngọt","Mất môi trường sống, ô nhiễm",Potamonautes lividus,Giáp xác,Potamonautidae,Decapoda,Unknown,,"Mất môi trường sống, ô nhiễm",EN,Nguy cấp,Được đánh giá là có nguy cơ bị tuyệt chủng rất cao trong tự nhiên,endangered
3,Châu chấu Gõ trống Usambara,Mất môi trường sống,"Dãy Usambara, Tanzania",Unknown,VU,Pseudoproscopia latirostris,"Châu chấu nhỏ, màu nâu và xanh lá, tạo âm thanh bằng cách gõ trống chân sau.",Rừng mưa nhiệt đới,Mất môi trường sống,Usambara Drumming Grasshopper,Côn trùng,Proscopiidae,Orthoptera,Unknown,,Mất môi trường sống,VU,Sắp nguy cấp,Có nguy cơ cao bị tuyệt chủng trong tự nhiên,vulnerable
4,Gấu Andes,"Mất môi trường sống, săn bắt","Dãy núi Andes, Nam Mỹ",Decreasing,VU,Tremarctos ornatus,"Gấu cỡ trung bình, lông đen với các vệt trắng đặc trưng quanh mặt và ngực.","Rừng mây, rừng nhiệt đới","Mất môi trường sống, săn bắt",Andean Bear,Thú,Ursidae,Carnivora,Decreasing,"2,500-10,000","Mất môi trường sống, săn bắt",VU,Sắp nguy cấp,Có nguy cơ cao bị tuyệt chủng trong tự nhiên,vulnerable
5,Ếch Cây Steiner,Mất môi trường sống,Sri Lanka,Decreasing,VU,Pseudophilautus steineri,"Ếch nhỏ với da màu nâu và xanh lá, sống trên cây.",Rừng mưa nhiệt đới,Mất môi trường sống,Steiner's Shrub Frog,Lưỡng cư,Rhacophoridae,Anura,Decreasing,,Mất môi trường sống,VU,Sắp nguy cấp,Có nguy cơ cao bị tuyệt chủng trong tự nhiên,vulnerable
6,Vịt Sông Đầu Trắng,"mất môi trường sống, hoạt động của con người","chủ yếu được tìm thấy ở vùng biển phía nam Nam Mỹ, đặc biệt là ở quần đảo Falkland và dọc theo bờ biển Argentina",Decreasing,VU ,Tachyeres leucocephalus,"Con trống trưởng thành có thân hình màu xám và đỏ, mỏ màu xanh và phần lớn màu trắng với mũ và cổ màu đen. Con cái trưởng thành có cơ thể màu nâu xám với khuôn mặt trắng và hóa đơn tối hơn, mũ lưỡi trai và sọc má. Chiều dài là 43–48 cm và trọng lượng là 580-750 g.","vùng biển gần bờ, các bãi triều và vùng nước nông","mất môi trường sống, hoạt động của con người",White-headed Steamerduck,Chim,Anatidae,Anseriformes,Decreasing,"3,400-3,700","mất môi trường sống, hoạt động của con người",VU ,Sắp nguy cấp,Có nguy cơ cao bị tuyệt chủng trong tự nhiên,vulnerable
7,Rùa biển Xanh,"Đánh bắt, mất môi trường sống, ô nhiễm","Đại Tây Dương, Thái Bình Dương, Ấn Độ Dương",Decreasing,EN,Chelonia mydas,"Rùa lớn với mai hình oval, màu xanh đậm.",Biển nhiệt đới và cận nhiệt đới,"Đánh bắt, mất môi trường sống, ô nhiễm",Green Sea Turtle,Bò sát,Cheloniidae,Testudines,Decreasing,,"Đánh bắt, mất môi trường sống, ô nhiễm",EN,Nguy cấp,Được đánh giá là có nguy cơ bị tuyệt chủng rất cao trong tự nhiên,endangered
8,Hổ Bengal,"Săn bắt, mất môi trường sống","Ấn Độ, Bangladesh, Bhutan, Nepal",Decreasing,EN,Panthera tigris tigris,Loài hổ lớn nhất với lông vàng và sọc đen.,"Rừng rậm, đồng cỏ, đầm lầy","Săn bắt, mất môi trường sống",Bengal Tiger,Thú,Felidae,Carnivora,Decreasing,2608-3905 (best estimate: 3140),"Săn bắt, mất môi trường sống",EN,Nguy cấp,Được đánh giá là có nguy cơ bị tuyệt chủng rất cao trong tự nhiên,endangered
9,Ốc Tulotoma,"Mất môi trường sống, ô nhiễm","Alabama, Hoa Kỳ",Unknown,EN,Tulotoma magnifica,"Ốc nước ngọt lớn, vỏ xoắn với màu xanh đậm hoặc đen.","Sông, suối nước ngọt","Mất môi trường sống, ô nhiễm",Tulotoma Snail,Chân bụng,Viviparidae,Architaenioglossa,Unknown,,"Mất môi trường sống, ô nhiễm",EN,Nguy cấp,Được đánh giá là có nguy cơ bị tuyệt chủng rất cao trong tự nhiên,endangered
10,Dơi mũi lá trắng Honduras,"Mất môi trường sống, săn bắt","Trung Mỹ (Honduras, Nicaragua, Costa Rica)",Decreasing,NT,Ectophylla alba,"Dơi nhỏ, lông trắng, mũi và tai màu vàng, sống trong lá cây cuốn.",Rừng mưa nhiệt đới,"Mất môi trường sống, săn bắt",Honduran White Bat,Thú,Phyllostomidae,Chiroptera,Decreasing,,"Mất môi trường sống, săn bắt",NT,Gần bị đe dọa,Có thể bị đe dọa trong tương lai gần,near threaten
